"Employee compensation by activity"
"Total, % of gross value added, 2008"
"Category","Employee compensation by activity"
"Denmark",61.4589773990167
"Belgium",57.2093482470444
"Slovenia",57.0810152871496
"Iceland",56.928080914072
"United States",56.6306854213156
"Switzerland",56.5460952952768
"France",56.3470092954895
"Estonia",55.3030436870397
"United Kingdom",55.1833084493105
"Germany",54.6267328164056
"Portugal",53.5846945344136
"Finland",53.5685035685036
"Spain",53.2125505597759
"Latvia",53.2046304952611
"Netherlands",53.1834221723517
"Hungary",52.8322998090179
"Canada",52.7140372143571
"Sweden",51.8118084856757
"Luxembourg",51.5781433541582
"Austria",51.4165589301029
"Japan",50.4721829853624
"Australia",50.0941170277529
"Israel",49.8629667239144
"Lithuania",48.9716818752744
"Ireland",48.896351763422
"New Zealand",48.5301916595861
"Korea",48.2725012327287
"Norway",45.8783488243785
"Czechia",45.2897574785358
"Poland",44.2901048813565
"Italy",43.274253159241
"Slovak Rep.",39.1810230802701
"Greece",38.7933187060308
"Türkiye",28.767221368846
"Mexico",26.3626018410355
