"Employee compensation by activity"
"Total, % of gross value added, 2001"
"Category","Employee compensation by activity"
"United States",59.139858338788
"Denmark",59.0038181092431
"Switzerland",58.4841640235578
"Iceland",58.4054840239915
"Germany",58.0038683852243
"Slovenia",57.9645172687784
"Belgium",57.3087808408804
"France",56.7501387267199
"Netherlands",55.5449712830616
"Portugal",54.9083208034044
"United Kingdom",54.8742771188915
"Luxembourg",54.3239651323481
"Canada",53.9388968705221
"Austria",53.5770507508248
"Australia",52.7149487954026
"Spain",52.7123316820994
"Finland",52.5466999732919
"Israel",52.1260349582154
"Hungary",51.9027708144723
"Sweden",51.7344947431311
"Japan",50.4177704856248
"Estonia",49.734075669281
"Norway",48.9845865783244
"Poland",47.2458294894066
"Korea",46.9044393883524
"Latvia",44.6560686270629
"Slovak Rep.",43.9235426510278
"New Zealand",43.1105332033041
"Ireland",43.0963934639397
"Czechia",43.0031722753248
"Lithuania",42.5242413504301
"Italy",41.0765742037614
"Greece",34.624695399931
"Mexico",28.2501434737272
"Türkiye",27.8570938062735
