"Employee compensation by activity"
"Total, % of gross value added, 2000"
"Category","Employee compensation by activity"
"Iceland",61.0429277005905
"United States",59.2333064158092
"Germany",58.9095434925379
"Denmark",57.9357519989816
"Slovenia",57.8737530939395
"Switzerland",56.9364367832312
"France",56.6600896752796
"Belgium",56.2332969127665
"Netherlands",55.858335468864
"Portugal",54.9408615644236
"Austria",54.2168146947923
"United Kingdom",53.8265241540635
"Canada",53.7275852403236
"Spain",53.6893790705413
"Australia",53.6557721250859
"Finland",53.0226753000896
"Hungary",52.038377644602
"Luxembourg",51.9753529734601
"Estonia",50.4977684067107
"Japan",50.3569837185855
"Sweden",50.2606985440964
"Israel",50.2590670821926
"Norway",47.9801064086299
"Poland",46.3564355839487
"Latvia",46.1748493432527
"Korea",45.9780264634852
"Slovak Rep.",45.5424219591085
"Lithuania",44.0220357249071
"Ireland",43.3442904600955
"New Zealand",43.1235723563399
"Czechia",43.0752471713077
"Italy",41.1648138141925
"Greece",34.4596086857221
"Türkiye",29.8350869924238
"Mexico",27.1491742743029
