"Employee compensation by activity"
"Total, % of gross value added, 2020"
"Category","Employee compensation by activity"
"Switzerland",61.2381994689461
"Slovenia",60.6550329320481
"Denmark",60.2010386399874
"Germany",59.8949188644161
"Iceland",59.7015637115808
"Estonia",57.9137392406659
"France",57.7660761275379
"United Kingdom",57.6906642247427
"Latvia",57.2693273000682
"United States",57.0238994073274
"Norway",56.8236531899815
"Netherlands",56.7529747980632
"Austria",56.2642112404652
"Canada",55.8949566299155
"Belgium",55.6823651802895
"Portugal",55.5728867853866
"Spain",54.9117312351751
"Luxembourg",54.7712823913198
"Sweden",54.1107840430016
"Finland",53.6127630264166
"Lithuania",53.2911404792679
"Korea",52.7945843819689
"Japan",52.7756239441995
"Australia",51.0703182160065
"Czechia",50.5235674136707
"Israel",49.0279478135635
"Hungary",48.9566692408952
"Slovak Rep.",48.9427620924986
"New Zealand",47.7473057504948
"Poland",46.5085942295887
"Italy",45.2138414948344
"Greece",44.7966544211852
"Chile",43.1293118957842
"Türkiye",32.9486801905853
"Mexico",28.7645039800307
"Ireland",28.4438067055175
