"Employee compensation by activity"
"Total, % of gross value added, 2007"
"Category","Employee compensation by activity"
"Iceland",64.680444155341
"Denmark",61.1952449936776
"United States",56.5294887471516
"Switzerland",56.2694193289494
"France",56.2366284995455
"United Kingdom",56.1194482929279
"Slovenia",55.994938508225
"Belgium",55.4832872292506
"Germany",53.5751813971697
"Portugal",53.2742167839466
"Canada",53.2180444288155
"Hungary",53.0403552683153
"Netherlands",52.5645921756364
"Spain",52.4595712014264
"Finland",52.3296901463367
"Australia",52.0650962842768
"Luxembourg",51.2530841489347
"Estonia",50.9284109190709
"Sweden",50.5989497281607
"Austria",50.5366462903324
"Latvia",49.4833844284516
"Japan",49.3106472743422
"Israel",49.031397382944
"Korea",48.3084915866684
"Lithuania",47.3216556482394
"Norway",47.0804607355028
"New Zealand",46.8121972137873
"Ireland",45.5723417256533
"Czechia",44.3513774092861
"Italy",42.5837998152467
"Poland",42.226025844261
"Slovak Rep.",39.3299779846677
"Greece",38.214091930516
"Türkiye",28.8019636438172
"Mexico",26.5210830040796
