"Employee compensation by activity"
"Total, % of gross value added, 2021"
"Category","Employee compensation by activity"
"Slovenia",60.0386723769973
"Switzerland",60.0202266270832
"Iceland",58.8032231964128
"Germany",58.4114709632011
"France",57.9679908738595
"Denmark",57.7262412214646
"United Kingdom",56.4903578359806
"United States",55.8090211280041
"Portugal",55.6464005273574
"Austria",55.6261491504236
"Estonia",55.5049321358506
"Latvia",54.519173744158
"Finland",54.232138006602
"Spain",54.1991566691052
"Netherlands",54.1443026893584
"Belgium",53.9531707106023
"Canada",53.917296240221
"Lithuania",53.357339475032
"Luxembourg",52.9987133519671
"Sweden",52.7701608120349
"Japan",52.728574069595
"Korea",51.8557373734613
"Czechia",50.2032842549463
"Australia",49.0411688852448
"Norway",48.7851456669794
"Slovak Rep.",48.4936984928099
"Israel",47.8678623977048
"Hungary",47.0384483666454
"Poland",45.0789433113172
"Italy",44.9621706633685
"Greece",43.0639068182245
"Chile",41.3588291919963
"Türkiye",30.0551014477451
"Mexico",28.5943548375201
"Ireland",27.2259002699946
