Country Name;Indicator Name;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
France;Unemployment, total (% of total labor force) (modeled ILO estimate);9.134;10.203;11.32;12.593;11.834;12.367;12.566;12.074;11.981;10.218;8.61;8.702;8.306;8.914;8.882;8.832;8.008;7.386;9.122;9.279;9.228;9.841;9.913;10.273;10.354;10.057;9.409;9.018;8.415;8.009;7.874;7.308;7.335
Latvia;Unemployment, total (% of total labor force) (modeled ILO estimate);2.7;6.6;16.7;18.7;19;20.7;17.569;14.454;13.79;14.211;13.821;13.829;12.061;11.708;10.033;7.03;6.052;7.739;17.515;19.482;16.206;15.047;11.867;10.846;9.873;9.643;8.715;7.412;6.312;8.098;7.513;6.815;6.465
