"Employee compensation by activity"
"Total, % of gross value added, 2009"
"Category","Employee compensation by activity"
"Denmark",63.6845102157859
"Slovenia",59.2169902782344
"Switzerland",58.8327491246894
"Belgium",58.4487436177695
"France",57.8822565448108
"Estonia",57.4524469881408
"Germany",57.3191586777658
"Finland",56.8996517168974
"United Kingdom",55.8126704572047
"Netherlands",55.6315653483254
"United States",55.4540785945271
"Canada",55.2762269606662
"Luxembourg",54.1669259201115
"Portugal",53.7814317732087
"Sweden",53.0921924024797
"Austria",53.0617467179868
"Spain",52.896327011262
"Hungary",52.7470908470338
"Latvia",51.6874645988083
"Japan",51.1975776575155
"Norway",51.1966738608166
"Australia",50.5341110812597
"Iceland",50.0798212189154
"Lithuania",49.3692953259503
"Ireland",48.837408008079
"Korea",47.930563039774
"Israel",47.9217606127289
"New Zealand",47.6471241394626
"Czechia",44.9995374587171
"Italy",44.543825314953
"Poland",42.3866971249144
"Slovak Rep.",41.4329838662189
"Greece",39.9614650091807
"Türkiye",29.946188347337
"Mexico",27.8938556959673
