"Employee compensation by activity"
"Total, % of gross value added, 2010"
"Category","Employee compensation by activity"
"Denmark",61.0252912362819
"Slovenia",60.0077545545537
"France",57.8605955089304
"Switzerland",57.3470440412186
"Belgium",56.9486075098583
"Germany",56.1050863865126
"Finland",55.851041217517
"United Kingdom",55.6745569194819
"United States",54.5602108662365
"Netherlands",54.2796196977084
"Canada",53.7303830732709
"Portugal",53.7040618571043
"Spain",53.4575571879259
"Estonia",53.2160971430354
"Austria",52.6784741953687
"Luxembourg",51.6160688006209
"Sweden",51.1964598110022
"Hungary",51.1884158867804
"Iceland",51.1803457337
"Australia",50.4648013214037
"Japan",49.6651645728489
"Norway",49.5490125564999
"Israel",48.2433893293271
"Latvia",47.901348477931
"New Zealand",47.4005496118033
"Korea",46.7529605724983
"Ireland",45.7214776435562
"Lithuania",45.4870060165251
"Czechia",45.376153166656
"Italy",44.3363544741438
"Poland",43.827912666416
"Greece",40.6991010781474
"Slovak Rep.",40.0099792564881
"Türkiye",30.5802696371947
"Mexico",26.9334524438122
