Country Name;Indicator Name;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
France;GDP (current US$);1595219345511.89;1598889216566.23;1449392222971.45;1496906382032.47;1486915879701.93;1360959069477.49;1370376677298.86;1492427756382.43;1835095983049.09;2109792297237.03;2192146403028.17;2317861544690.82;2655816911866.56;2926802941585.86;2700075882518.98;2646230027988.34;2870408553990.28;2683007095787.23;2816077607875.26;2861236112552.42;2442483452642.5;2470407619777.13;2588868323334.71;2781576320884.39;2722793515171.76;2647926055110.05;2966433692008.09;2796302210398.84;3051831611384.76
Latvia;GDP (current US$);5608208784.9401;5799465288.41246;6349481006.53278;6974112951.26891;7324192889.74297;7761252607.18424;8190888739.6463;9249030241.01864;11244337719.8377;13827070378.5612;16306935905.4138;20434922247.3037;29420499247.7089;34135200994.0067;25691530442.035;23468324572.3343;26575547900.8247;27116149948.6683;29152128167.8438;30277203767.4058;26344565876.8902;27117105059.5075;29391059767.4259;33247935477.3576;33099503950.847;33379927434.6149;38185125732.9451;38018905782.397;42247850064.5125
