Country Name;Indicator Name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
France;Population, total;47412964;47905982;48389516;48877567;49401492;49877725;50311637;50722791;51112980;51536014;52007169;52499553;52962356;53392161;53746571;54002853;54232383;54486467;54734030;54979851;55274184;55603353;55806789;56108330;56383085;56665619;56956002;57266167;57598186;57943062;58261012;58554242;58846584;59103094;59324863;59541294;59754504;59968066;60190684;60501986;60918661;61364377;61812142;62249855;62707588;63180854;63622342;64016890;64375116;64706436;65026211;65340830;65657659;65997932;66312067;66548272;66724104;66918020;67158348;67382061;67601110;67842811;68065015;68287487
Latvia;Population, total;2120979;2152681;2181586;2210919;2240623;2265919;2283217;2301220;2323619;2343173;2359164;2376389;2395674;2415819;2437186;2456130;2470989;2485073;2497921;2505953;2511701;2519421;2531080;2546011;2562047;2578873;2599892;2626583;2653434;2666955;2663151;2650581;2614338;2563290;2520742;2485056;2457222;2432851;2410019;2390482;2367550;2337170;2310173;2287955;2263122;2238799;2218357;2200325;2177322;2141669;2097555;2059709;2034319;2012647;1993782;1977527;1959537;1942248;1927174;1913822;1900449;1884490;1879383;1877445
